input_combo,epoch,test_accuracy
text,1,0.5384615384615384
text,2,0.6666666666666666
text,3,0.7435897435897436
text,4,0.7692307692307693
text,5,0.7589743589743589
text,6,0.7435897435897436
description_fp,1,0.49230769230769234
description_fp,2,0.6820512820512821
description_fp,3,0.7025641025641025
description_fp,4,0.7282051282051282
description_fp,5,0.6974358974358974
description_fp,6,0.717948717948718
analysis_fp,1,0.48717948717948717
analysis_fp,2,0.7692307692307693
analysis_fp,3,0.7692307692307693
analysis_fp,4,0.7794871794871795
analysis_fp,5,0.7282051282051282
analysis_fp,6,0.7743589743589744
description_fn,1,0.5076923076923077
description_fn,2,0.7435897435897436
description_fn,3,0.7487179487179487
description_fn,4,0.7333333333333333
description_fn,5,0.7846153846153846
description_fn,6,0.7282051282051282
analysis_fn,1,0.48717948717948717
analysis_fn,2,0.7384615384615385
analysis_fn,3,0.676923076923077
analysis_fn,4,0.8102564102564103
analysis_fn,5,0.7589743589743589
analysis_fn,6,0.7692307692307693
text+description_fp,1,0.6461538461538462
text+description_fp,2,0.7435897435897436
text+description_fp,3,0.7794871794871795
text+description_fp,4,0.7794871794871795
text+description_fp,5,0.7692307692307693
text+description_fp,6,0.7794871794871795
text+analysis_fp,1,0.48717948717948717
text+analysis_fp,2,0.6410256410256411
text+analysis_fp,3,0.6666666666666666
text+analysis_fp,4,0.6666666666666666
text+analysis_fp,5,0.7794871794871795
text+analysis_fp,6,0.7897435897435897
text+description_fn,1,0.48717948717948717
text+description_fn,2,0.49743589743589745
text+description_fn,3,0.7384615384615385
text+description_fn,4,0.7794871794871795
text+description_fn,5,0.7794871794871795
text+description_fn,6,0.7538461538461538
text+analysis_fn,1,0.48717948717948717
text+analysis_fn,2,0.5897435897435898
text+analysis_fn,3,0.7333333333333333
text+analysis_fn,4,0.6974358974358974
text+analysis_fn,5,0.6974358974358974
text+analysis_fn,6,0.7589743589743589
description_fp+analysis_fp,1,0.764102564102564
description_fp+analysis_fp,2,0.7743589743589744
description_fp+analysis_fp,3,0.7948717948717948
description_fp+analysis_fp,4,0.7589743589743589
description_fp+analysis_fp,5,0.8
description_fp+analysis_fp,6,0.7897435897435897
description_fp+description_fn,1,0.48717948717948717
description_fp+description_fn,2,0.7948717948717948
description_fp+description_fn,3,0.7487179487179487
description_fp+description_fn,4,0.7487179487179487
description_fp+description_fn,5,0.717948717948718
description_fp+description_fn,6,0.7743589743589744
description_fp+analysis_fn,1,0.48717948717948717
description_fp+analysis_fn,2,0.7025641025641025
description_fp+analysis_fn,3,0.7846153846153846
description_fp+analysis_fn,4,0.8307692307692308
description_fp+analysis_fn,5,0.764102564102564
description_fp+analysis_fn,6,0.8153846153846154
analysis_fp+description_fn,1,0.6974358974358974
analysis_fp+description_fn,2,0.7589743589743589
analysis_fp+description_fn,3,0.8153846153846154
analysis_fp+description_fn,4,0.8
analysis_fp+description_fn,5,0.717948717948718
analysis_fp+description_fn,6,0.7897435897435897
analysis_fp+analysis_fn,1,0.5794871794871795
analysis_fp+analysis_fn,2,0.764102564102564
analysis_fp+analysis_fn,3,0.7794871794871795
analysis_fp+analysis_fn,4,0.8051282051282052
analysis_fp+analysis_fn,5,0.7692307692307693
analysis_fp+analysis_fn,6,0.8102564102564103
description_fn+analysis_fn,1,0.49230769230769234
description_fn+analysis_fn,2,0.6974358974358974
description_fn+analysis_fn,3,0.8
description_fn+analysis_fn,4,0.841025641025641
description_fn+analysis_fn,5,0.8
description_fn+analysis_fn,6,0.8205128205128205
text+description_fp+analysis_fp,1,0.5743589743589743
text+description_fp+analysis_fp,2,0.6615384615384615
text+description_fp+analysis_fp,3,0.7333333333333333
text+description_fp+analysis_fp,4,0.7589743589743589
text+description_fp+analysis_fp,5,0.7794871794871795
text+description_fp+analysis_fp,6,0.7743589743589744
text+description_fp+description_fn,1,0.6461538461538462
text+description_fp+description_fn,2,0.7692307692307693
text+description_fp+description_fn,3,0.7128205128205128
text+description_fp+description_fn,4,0.8
text+description_fp+description_fn,5,0.7589743589743589
text+description_fp+description_fn,6,0.7794871794871795
text+description_fp+analysis_fn,1,0.48717948717948717
text+description_fp+analysis_fn,2,0.6358974358974359
text+description_fp+analysis_fn,3,0.7128205128205128
text+description_fp+analysis_fn,4,0.7538461538461538
text+description_fp+analysis_fn,5,0.7692307692307693
text+description_fp+analysis_fn,6,0.764102564102564
text+analysis_fp+description_fn,1,0.48717948717948717
text+analysis_fp+description_fn,2,0.48717948717948717
text+analysis_fp+description_fn,3,0.6615384615384615
text+analysis_fp+description_fn,4,0.676923076923077
text+analysis_fp+description_fn,5,0.6820512820512821
text+analysis_fp+description_fn,6,0.8
text+analysis_fp+analysis_fn,1,0.6410256410256411
text+analysis_fp+analysis_fn,2,0.6461538461538462
text+analysis_fp+analysis_fn,3,0.7948717948717948
text+analysis_fp+analysis_fn,4,0.8256410256410256
text+analysis_fp+analysis_fn,5,0.7743589743589744
text+analysis_fp+analysis_fn,6,0.7794871794871795
text+description_fn+analysis_fn,1,0.48717948717948717
text+description_fn+analysis_fn,2,0.7025641025641025
text+description_fn+analysis_fn,3,0.7128205128205128
text+description_fn+analysis_fn,4,0.7743589743589744
text+description_fn+analysis_fn,5,0.764102564102564
text+description_fn+analysis_fn,6,0.7897435897435897
description_fp+analysis_fp+description_fn,1,0.48717948717948717
description_fp+analysis_fp+description_fn,2,0.7487179487179487
description_fp+analysis_fp+description_fn,3,0.7897435897435897
description_fp+analysis_fp+description_fn,4,0.7435897435897436
description_fp+analysis_fp+description_fn,5,0.8205128205128205
description_fp+analysis_fp+description_fn,6,0.8256410256410256
description_fp+analysis_fp+analysis_fn,1,0.48717948717948717
description_fp+analysis_fp+analysis_fn,2,0.6666666666666666
description_fp+analysis_fp+analysis_fn,3,0.764102564102564
description_fp+analysis_fp+analysis_fn,4,0.7794871794871795
description_fp+analysis_fp+analysis_fn,5,0.8205128205128205
description_fp+analysis_fp+analysis_fn,6,0.8307692307692308
description_fp+description_fn+analysis_fn,1,0.6871794871794872
description_fp+description_fn+analysis_fn,2,0.6923076923076923
description_fp+description_fn+analysis_fn,3,0.7589743589743589
description_fp+description_fn+analysis_fn,4,0.7692307692307693
description_fp+description_fn+analysis_fn,5,0.7846153846153846
description_fp+description_fn+analysis_fn,6,0.764102564102564
analysis_fp+description_fn+analysis_fn,1,0.48717948717948717
analysis_fp+description_fn+analysis_fn,2,0.7846153846153846
analysis_fp+description_fn+analysis_fn,3,0.7487179487179487
analysis_fp+description_fn+analysis_fn,4,0.8
analysis_fp+description_fn+analysis_fn,5,0.8102564102564103
analysis_fp+description_fn+analysis_fn,6,0.8051282051282052
text+description_fp+analysis_fp+description_fn,1,0.48717948717948717
text+description_fp+analysis_fp+description_fn,2,0.6871794871794872
text+description_fp+analysis_fp+description_fn,3,0.7435897435897436
text+description_fp+analysis_fp+description_fn,4,0.7794871794871795
text+description_fp+analysis_fp+description_fn,5,0.7846153846153846
text+description_fp+analysis_fp+description_fn,6,0.717948717948718
text+description_fp+analysis_fp+analysis_fn,1,0.5897435897435898
text+description_fp+analysis_fp+analysis_fn,2,0.7589743589743589
text+description_fp+analysis_fp+analysis_fn,3,0.8102564102564103
text+description_fp+analysis_fp+analysis_fn,4,0.8153846153846154
text+description_fp+analysis_fp+analysis_fn,5,0.8
text+description_fp+analysis_fp+analysis_fn,6,0.7794871794871795
text+description_fp+description_fn+analysis_fn,1,0.5282051282051282
text+description_fp+description_fn+analysis_fn,2,0.6974358974358974
text+description_fp+description_fn+analysis_fn,3,0.6923076923076923
text+description_fp+description_fn+analysis_fn,4,0.7692307692307693
text+description_fp+description_fn+analysis_fn,5,0.7743589743589744
text+description_fp+description_fn+analysis_fn,6,0.7794871794871795
text+analysis_fp+description_fn+analysis_fn,1,0.48717948717948717
text+analysis_fp+description_fn+analysis_fn,2,0.5897435897435898
text+analysis_fp+description_fn+analysis_fn,3,0.7230769230769231
text+analysis_fp+description_fn+analysis_fn,4,0.7230769230769231
text+analysis_fp+description_fn+analysis_fn,5,0.7692307692307693
text+analysis_fp+description_fn+analysis_fn,6,0.7692307692307693
description_fp+analysis_fp+description_fn+analysis_fn,1,0.48717948717948717
description_fp+analysis_fp+description_fn+analysis_fn,2,0.7743589743589744
description_fp+analysis_fp+description_fn+analysis_fn,3,0.7948717948717948
description_fp+analysis_fp+description_fn+analysis_fn,4,0.8102564102564103
description_fp+analysis_fp+description_fn+analysis_fn,5,0.8
description_fp+analysis_fp+description_fn+analysis_fn,6,0.764102564102564
text+description_fp+analysis_fp+description_fn+analysis_fn,1,0.6615384615384615
text+description_fp+analysis_fp+description_fn+analysis_fn,2,0.7589743589743589
text+description_fp+analysis_fp+description_fn+analysis_fn,3,0.764102564102564
text+description_fp+analysis_fp+description_fn+analysis_fn,4,0.7589743589743589
text+description_fp+analysis_fp+description_fn+analysis_fn,5,0.7128205128205128
text+description_fp+analysis_fp+description_fn+analysis_fn,6,0.7794871794871795
